epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.715,1.1199,1.65907,1.24645,0.89499,0.86964,0.94707,0.66357,1.05709,2.06383,1.25442,0.000659004,0.000659004,0.000659004
2,337.006,1.23604,1.43181,1.32329,0.71104,0.76402,0.79782,0.5036,1.2817,1.79737,1.40229,0.00131255,0.00131255,0.00131255
3,493.775,1.23585,1.28166,1.321,0.9125,0.88171,0.94432,0.64263,1.1805,1.26362,1.35776,0.00195289,0.00195289,0.00195289
4,657.835,1.27792,1.20215,1.35936,0.89773,0.87014,0.93127,0.60781,1.29181,1.21214,1.42768,0.0019406,0.0019406,0.0019406
5,812.372,1.2326,1.06647,1.28889,0.85888,0.86947,0.93022,0.64477,1.11403,1.01171,1.2737,0.0019208,0.0019208,0.0019208
6,965.298,1.16795,0.98555,1.24493,0.95032,0.89226,0.96438,0.62795,1.20405,0.91905,1.34355,0.001901,0.001901,0.001901
7,1117.63,1.14386,0.90109,1.24146,0.91763,0.90525,0.94715,0.69695,1.01193,1.01682,1.21534,0.0018812,0.0018812,0.0018812
8,1270.62,1.13338,0.89308,1.24486,0.89375,0.91399,0.94153,0.6782,1.04939,0.98484,1.23963,0.0018614,0.0018614,0.0018614
9,1737.8,1.16448,0.89293,1.25563,0.94346,0.94898,0.97565,0.72337,1.03226,0.70896,1.21329,0.0018416,0.0018416,0.0018416
10,1895.03,1.14125,0.85629,1.22261,0.88743,0.94235,0.94416,0.686,1.03749,0.82777,1.22744,0.0018218,0.0018218,0.0018218
11,2049.06,1.07423,0.76971,1.19661,0.94617,0.95627,0.98744,0.74962,0.91654,0.61185,1.14615,0.001802,0.001802,0.001802
12,2201.61,1.10199,0.763,1.19353,0.95383,0.96376,0.98636,0.728,1.00759,0.61188,1.18792,0.0017822,0.0017822,0.0017822
13,2353.6,1.07992,0.76764,1.20063,0.96775,0.96243,0.98961,0.77029,0.87971,0.54492,1.11106,0.0017624,0.0017624,0.0017624
14,2505.03,1.05847,0.74461,1.17896,0.94398,0.96356,0.98562,0.76321,0.8859,0.62463,1.10426,0.0017426,0.0017426,0.0017426
15,2668.86,1.02997,0.70206,1.17147,0.95406,0.95481,0.98583,0.76563,0.89482,0.57766,1.12035,0.0017228,0.0017228,0.0017228
16,2819.85,1.01999,0.69027,1.17243,0.97214,0.96639,0.9907,0.77847,0.84954,0.53102,1.09016,0.001703,0.001703,0.001703
17,2971.17,1.0151,0.70827,1.18059,0.94342,0.94788,0.97368,0.75323,0.92113,0.62619,1.14942,0.0016832,0.0016832,0.0016832
