epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,634.966,1.01413,2.43215,1.60182,1.20272,0,0.79701,0.72558,0.8193,0.57125,0.79387,0.67773,0.76005,0.41037,0.9185,2.54425,2.00117,1.21237,0,0.000655172,0.000655172,0.000655172
2,1150.14,1.15629,2.54005,1.38752,1.29828,0,0.64496,0.63488,0.66364,0.38265,0.51095,0.3845,0.33337,0.13695,1.31404,5.31303,1.87668,1.46359,0,0.00130875,0.00130875,0.00130875
3,1675.65,1.24989,2.67053,1.33336,1.33011,0,0.4351,0.52636,0.40112,0.16549,0.29783,0.27907,0.17119,0.0473,1.86096,8.94006,2.9106,2.41605,0,0.00194913,0.00194913,0.00194913
4,2320,1.24711,2.59715,1.26818,1.34662,0,0.74827,0.66822,0.75223,0.45126,0.73772,0.61269,0.67172,0.32036,1.34598,3.29406,1.33178,1.5031,0,0.0019406,0.0019406,0.0019406
5,2982.05,1.21297,2.5627,1.17496,1.31057,0,0.77868,0.70367,0.81405,0.53789,0.78075,0.66526,0.75965,0.44851,1.10335,2.27375,1.15212,1.2994,0,0.0019208,0.0019208,0.0019208
6,3815.09,1.18898,2.52439,1.14829,1.29752,0,0.75192,0.67442,0.78256,0.52158,0.73707,0.66279,0.7495,0.44268,1.13194,2.11927,1.09021,1.32897,0,0.001901,0.001901,0.001901
7,4435.05,1.15073,2.44737,1.05247,1.27074,0,0.74979,0.72243,0.79986,0.5353,0.74559,0.68837,0.7551,0.41343,1.16157,2.53291,1.15765,1.35804,0,0.0018812,0.0018812,0.0018812
8,5033.91,1.14249,2.46589,1.04872,1.2652,0,0.81669,0.55891,0.73103,0.51188,0.83926,0.54639,0.68187,0.38206,1.06868,2.55139,1.34387,1.28857,0,0.0018614,0.0018614,0.0018614
9,5590.02,1.10115,2.40366,0.9852,1.24528,0,0.78877,0.78915,0.86338,0.62167,0.81134,0.74109,0.8232,0.50328,0.97937,2.04996,0.95751,1.20933,0,0.0018416,0.0018416,0.0018416
10,6147.14,1.08875,2.37668,0.95936,1.24539,0,0.81736,0.79789,0.87801,0.63555,0.81898,0.73302,0.82099,0.50462,0.91315,2.04851,0.86256,1.15983,0,0.0018218,0.0018218,0.0018218
11,6772.92,1.10306,2.40369,0.96116,1.2465,0,0.80516,0.81938,0.88285,0.62179,0.83551,0.73633,0.82979,0.50223,1.01156,2.04851,0.78305,1.2272,0,0.001802,0.001802,0.001802
12,7347.73,1.08314,2.32838,0.91902,1.24438,0,0.84057,0.82326,0.90051,0.65886,0.82998,0.79457,0.86733,0.55443,0.91129,1.92293,0.78036,1.16752,0,0.0017822,0.0017822,0.0017822
13,7845.91,1.08693,2.31284,0.94682,1.22838,0,0.85601,0.83878,0.90636,0.66987,0.84559,0.82248,0.88298,0.55594,0.88459,1.87851,0.71766,1.14433,0,0.0017624,0.0017624,0.0017624
14,8410.23,1.04762,2.31112,0.91177,1.21912,0,0.82762,0.78158,0.87338,0.6437,0.81815,0.72193,0.8109,0.50166,0.89516,2.03991,0.82039,1.16237,0,0.0017426,0.0017426,0.0017426
15,8991.17,1.04072,2.26199,0.88839,1.20678,0,0.86887,0.87321,0.92682,0.69548,0.86511,0.85116,0.90565,0.58489,0.86267,1.807,0.64614,1.1241,0,0.0017228,0.0017228,0.0017228
16,9652.98,1.00916,2.24628,0.85639,1.18603,0,0.84863,0.85179,0.91545,0.69386,0.8285,0.82386,0.88495,0.56998,0.83713,1.89516,0.69156,1.10713,0,0.001703,0.001703,0.001703
17,10238.3,1.03691,2.23921,0.84059,1.19389,0,0.89481,0.77597,0.89481,0.68123,0.89261,0.76678,0.87625,0.55282,0.83448,1.84406,0.81234,1.10733,0,0.0016832,0.0016832,0.0016832
18,10776.4,1.0227,2.18927,0.8314,1.19215,0,0.85723,0.82403,0.89394,0.67413,0.84024,0.79505,0.86219,0.55825,0.85139,1.89827,0.69874,1.12974,0,0.0016634,0.0016634,0.0016634
19,11352.1,1.002,2.21732,0.824,1.18502,0,0.84053,0.85396,0.92149,0.69831,0.84472,0.84109,0.90447,0.58928,0.82574,1.76352,0.66955,1.09229,0,0.0016436,0.0016436,0.0016436
20,11880,0.95578,2.13941,0.78687,1.16686,0,0.87746,0.88372,0.93318,0.71437,0.87079,0.86589,0.91161,0.59815,0.79773,1.69323,0.62771,1.07648,0,0.0016238,0.0016238,0.0016238
21,12394.8,0.9625,2.1804,0.7927,1.1663,0,0.86488,0.87823,0.93515,0.73984,0.85419,0.86738,0.91689,0.60593,0.74175,1.68855,0.58637,1.05388,0,0.001604,0.001604,0.001604
22,12931,0.96021,2.18772,0.78828,1.18158,0,0.88369,0.90543,0.94634,0.73722,0.87439,0.88217,0.92469,0.61255,0.76823,1.64089,0.56565,1.06429,0,0.0015842,0.0015842,0.0015842
23,13436.8,0.94693,2.12689,0.77255,1.15272,0,0.87767,0.86204,0.92892,0.72478,0.86683,0.84341,0.90591,0.61999,0.77561,1.61652,0.6125,1.06162,0,0.0015644,0.0015644,0.0015644
24,14081.9,0.93489,2.09966,0.76457,1.15204,0,0.88127,0.88032,0.94063,0.72945,0.88071,0.83488,0.8928,0.577,0.77917,1.77898,0.59614,1.05562,0,0.0015446,0.0015446,0.0015446
25,14542.5,0.93836,2.07592,0.74083,1.14758,0,0.8892,0.89584,0.95078,0.74591,0.8814,0.87568,0.92871,0.61862,0.74683,1.65229,0.54808,1.03784,0,0.0015248,0.0015248,0.0015248
26,15128.7,0.937,2.04458,0.74995,1.13943,0,0.90545,0.90571,0.95059,0.7455,0.89708,0.89863,0.93837,0.62242,0.74687,1.63888,0.57227,1.03254,0,0.001505,0.001505,0.001505
27,15843.9,0.90717,2.04503,0.72871,1.13346,0,0.87567,0.87901,0.93576,0.74921,0.86756,0.86279,0.91775,0.62645,0.72099,1.611,0.59476,1.02053,0,0.0014852,0.0014852,0.0014852
28,16680.8,0.91942,2.04879,0.74883,1.14004,0,0.90182,0.91143,0.9565,0.76902,0.89952,0.89526,0.94151,0.65612,0.69469,1.52299,0.50685,1.01652,0,0.0014654,0.0014654,0.0014654
29,17374.2,0.90597,2.05816,0.74871,1.13287,0,0.882,0.90078,0.95418,0.7643,0.88895,0.8907,0.94287,0.64365,0.70695,1.54493,0.52757,1.01752,0,0.0014456,0.0014456,0.0014456
30,18166.6,0.88468,2.00556,0.68987,1.12563,0,0.89373,0.90619,0.94796,0.75951,0.89552,0.87519,0.92915,0.63565,0.72958,1.58846,0.53961,1.03276,0,0.0014258,0.0014258,0.0014258
31,18845.4,0.87629,1.98489,0.70139,1.12238,0,0.8925,0.89845,0.95252,0.76719,0.87786,0.88372,0.93065,0.65167,0.70064,1.51319,0.52483,1.01728,0,0.001406,0.001406,0.001406
32,19511.1,0.902,2.0296,0.71549,1.13416,0,0.8961,0.92016,0.9613,0.77411,0.89034,0.9124,0.95015,0.65835,0.68971,1.51067,0.48311,0.99838,0,0.0013862,0.0013862,0.0013862
33,20298.3,0.88773,2.03794,0.6941,1.12738,0,0.89196,0.92636,0.95838,0.77103,0.89127,0.89922,0.94189,0.65268,0.6997,1.50001,0.52917,1.01812,0,0.0013664,0.0013664,0.0013664
34,21054,0.912,2.01874,0.71011,1.14504,0,0.90316,0.92016,0.9617,0.77879,0.90186,0.90465,0.95262,0.66423,0.67253,1.47,0.48814,0.99336,0,0.0013466,0.0013466,0.0013466
